time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-03 00:00:00+00:00,5.0,5.0,23,4
2025-05-04 00:00:00+00:00,11.0,7.0,25,6
2025-05-05 00:00:00+00:00,12.0,5.0,38,12
2025-05-06 00:00:00+00:00,7.0,5.0,50,14
2025-05-07 00:00:00+00:00,6.0,4.0,31,12
2025-05-08 00:00:00+00:00,5.0,4.0,28,13
2025-05-09 00:00:00+00:00,5.0,4.0,38,11
2025-05-10 00:00:00+00:00,7.0,5.0,10,4
2025-05-11 00:00:00+00:00,3.0,3.0,3,3
2025-05-12 00:00:00+00:00,4.0,3.0,22,13
2025-05-13 00:00:00+00:00,5.0,3.0,22,15
2025-05-14 00:00:00+00:00,5.0,3.0,15,12
2025-05-15 00:00:00+00:00,5.0,4.0,20,14
2025-05-16 00:00:00+00:00,,,10,5
