time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-08 00:00:00+00:00,7,7,42,16
2025-10-09 00:00:00+00:00,5,5,42,13
2025-10-10 00:00:00+00:00,7,7,10,7
2025-10-11 00:00:00+00:00,7,7,6,5
2025-10-12 00:00:00+00:00,9,8,4,4
2025-10-13 00:00:00+00:00,6,4,24,8
2025-10-14 00:00:00+00:00,18,6,37,17
2025-10-15 00:00:00+00:00,12,7,42,13
2025-10-16 00:00:00+00:00,13,3,9,8
2025-10-17 00:00:00+00:00,7,5,26,13
2025-10-18 00:00:00+00:00,15,4,5,4
2025-10-19 00:00:00+00:00,16,7,6,2
2025-10-20 00:00:00+00:00,9,4,36,20
2025-10-21 00:00:00+00:00,9,3,17,9
