time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-04 00:00:00+00:00,6.0,4.0,37,17
2025-11-05 00:00:00+00:00,19.0,8.0,17,14
2025-11-06 00:00:00+00:00,19.0,10.0,23,12
2025-11-07 00:00:00+00:00,4.0,4.0,57,17
2025-11-08 00:00:00+00:00,3.0,3.0,4,3
2025-11-09 00:00:00+00:00,15.0,7.0,8,6
2025-11-10 00:00:00+00:00,12.0,5.0,93,18
2025-11-11 00:00:00+00:00,16.0,9.0,16,11
2025-11-12 00:00:00+00:00,12.0,5.0,22,12
2025-11-13 00:00:00+00:00,6.0,5.0,28,19
2025-11-14 00:00:00+00:00,9.0,4.0,10,7
2025-11-15 00:00:00+00:00,6.0,6.0,2,2
2025-11-16 00:00:00+00:00,4.0,4.0,1,1
2025-11-17 00:00:00+00:00,,,21,9
