time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-17 00:00:00+00:00,10,4,20,13
2025-07-18 00:00:00+00:00,8,2,16,8
2025-07-19 00:00:00+00:00,10,2,18,3
2025-07-20 00:00:00+00:00,9,3,7,5
2025-07-21 00:00:00+00:00,9,3,25,13
2025-07-22 00:00:00+00:00,13,4,115,13
2025-07-23 00:00:00+00:00,10,3,90,12
2025-07-24 00:00:00+00:00,15,6,21,11
2025-07-25 00:00:00+00:00,11,5,28,9
2025-07-26 00:00:00+00:00,8,2,4,2
2025-07-27 00:00:00+00:00,9,3,11,6
2025-07-28 00:00:00+00:00,8,2,39,11
2025-07-29 00:00:00+00:00,36,9,54,21
2025-07-30 00:00:00+00:00,6,3,36,7
