time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-05 00:00:00+00:00,38,16,15,9
2026-02-06 00:00:00+00:00,33,15,10,8
2026-02-07 00:00:00+00:00,24,13,8,5
2026-02-08 00:00:00+00:00,21,10,7,6
2026-02-09 00:00:00+00:00,11,6,11,10
2026-02-10 00:00:00+00:00,11,6,11,10
2026-02-11 00:00:00+00:00,8,3,22,10
2026-02-12 00:00:00+00:00,7,6,24,9
2026-02-13 00:00:00+00:00,12,5,11,5
2026-02-14 00:00:00+00:00,12,7,8,6
2026-02-15 00:00:00+00:00,14,8,12,6
2026-02-16 00:00:00+00:00,10,5,7,7
2026-02-17 00:00:00+00:00,6,5,3,3
2026-02-18 00:00:00+00:00,12,7,11,10
