referrer,views_total,views_unique
Google,56,45
cn.bing.com,11,1
sciencedirect.com,9,5
github.com,7,3
DuckDuckGo,6,4
neurostars.org,6,2
chatgpt.com,3,2
search.brave.com,2,2
medium.com,1,1
ecosia.org,1,1
