time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-03 00:00:00+00:00,10.0,4.0,11,6
2025-08-04 00:00:00+00:00,14.0,8.0,19,13
2025-08-05 00:00:00+00:00,19.0,10.0,111,27
2025-08-06 00:00:00+00:00,15.0,5.0,29,17
2025-08-07 00:00:00+00:00,20.0,11.0,27,13
2025-08-08 00:00:00+00:00,11.0,5.0,22,11
2025-08-09 00:00:00+00:00,12.0,6.0,7,4
2025-08-10 00:00:00+00:00,14.0,6.0,8,6
2025-08-11 00:00:00+00:00,9.0,3.0,35,12
2025-08-12 00:00:00+00:00,13.0,4.0,31,16
2025-08-13 00:00:00+00:00,9.0,3.0,15,7
2025-08-14 00:00:00+00:00,1.0,1.0,17,9
2025-08-15 00:00:00+00:00,,,15,5
2025-08-16 00:00:00+00:00,,,2,2
