referrer,views_total,views_unique
Google,40,34
cn.bing.com,19,1
DuckDuckGo,9,2
neurostars.org,8,4
github.com,6,4
chatgpt.com,4,2
Bing,2,2
mynotebook.labarchives.com,1,1
qwant.com,1,1
sciencedirect.com,1,1
