referrer,views_total,views_unique
Google,120,39
github.com,25,8
chatgpt.com,21,8
sciencedirect.com,7,7
pdf.sciencedirectassets.com,6,1
pmc.ncbi.nlm.nih.gov,3,1
DuckDuckGo,3,1
nature.com,2,1
co.search.yahoo.com,1,1
neuroimagingchart.com,1,1
