referrer,views_total,views_unique
Google,105,44
github.com,17,7
sciencedirect.com,10,4
academic.oup.com,10,1
Bing,7,5
neurostars.org,6,5
centilebrain.org,4,3
statics.teams.cdn.office.net,3,1
DuckDuckGo,1,1
chatgpt.com,1,1
