referrer,views_total,views_unique
Google,51,29
github.com,20,9
chatgpt.com,7,3
sciencedirect.com,3,3
nature.com,3,2
pypi.org,3,1
copilot.microsoft.com,1,1
onlinelibrary.wiley.com,1,1
