time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-10 00:00:00+00:00,28,13,21,8
2026-07-11 00:00:00+00:00,14,8,3,2
2026-07-12 00:00:00+00:00,21,10,3,2
2026-07-13 00:00:00+00:00,18,7,7,5
2026-07-14 00:00:00+00:00,24,10,12,5
2026-07-15 00:00:00+00:00,9,4,6,5
2026-07-16 00:00:00+00:00,14,5,14,8
2026-07-17 00:00:00+00:00,9,5,12,8
2026-07-18 00:00:00+00:00,22,7,2,2
2026-07-19 00:00:00+00:00,6,2,2,2
2026-07-20 00:00:00+00:00,6,5,1,1
2026-07-21 00:00:00+00:00,18,8,5,4
2026-07-22 00:00:00+00:00,10,5,15,8
2026-07-23 00:00:00+00:00,17,8,24,7
