time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-16 00:00:00+00:00,14.0,7.0,28,16
2025-06-17 00:00:00+00:00,10.0,4.0,21,9
2025-06-18 00:00:00+00:00,12.0,6.0,16,10
2025-06-19 00:00:00+00:00,8.0,2.0,14,9
2025-06-20 00:00:00+00:00,8.0,2.0,12,6
2025-06-21 00:00:00+00:00,10.0,4.0,6,4
2025-06-22 00:00:00+00:00,11.0,3.0,2,2
2025-06-23 00:00:00+00:00,14.0,8.0,18,15
2025-06-24 00:00:00+00:00,9.0,3.0,11,7
2025-06-25 00:00:00+00:00,8.0,5.0,12,11
2025-06-26 00:00:00+00:00,16.0,8.0,26,11
2025-06-27 00:00:00+00:00,11.0,5.0,15,9
2025-06-28 00:00:00+00:00,11.0,5.0,4,1
2025-06-29 00:00:00+00:00,,,4,4
