time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-06 00:00:00+00:00,12,6,7,4
2026-06-07 00:00:00+00:00,24,10,11,4
2026-06-08 00:00:00+00:00,20,10,13,8
2026-06-09 00:00:00+00:00,25,11,14,8
2026-06-10 00:00:00+00:00,4,4,8,6
2026-06-11 00:00:00+00:00,16,6,7,6
2026-06-12 00:00:00+00:00,26,11,9,6
2026-06-13 00:00:00+00:00,25,12,4,4
2026-06-14 00:00:00+00:00,27,11,3,2
2026-06-15 00:00:00+00:00,23,8,3,3
2026-06-16 00:00:00+00:00,19,9,3,3
2026-06-17 00:00:00+00:00,28,9,10,7
2026-06-18 00:00:00+00:00,36,13,10,6
2026-06-19 00:00:00+00:00,27,9,6,6
