time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-16 00:00:00+00:00,11,6,12,8
2026-03-17 00:00:00+00:00,2,2,25,6
2026-03-18 00:00:00+00:00,10,7,28,13
2026-03-19 00:00:00+00:00,3,2,32,13
2026-03-20 00:00:00+00:00,6,2,13,5
2026-03-21 00:00:00+00:00,11,5,3,2
2026-03-22 00:00:00+00:00,7,3,2,1
2026-03-23 00:00:00+00:00,12,7,19,10
2026-03-24 00:00:00+00:00,6,2,12,10
2026-03-25 00:00:00+00:00,17,8,31,16
2026-03-26 00:00:00+00:00,11,5,12,10
2026-03-27 00:00:00+00:00,10,5,8,7
2026-03-28 00:00:00+00:00,14,10,4,4
2026-03-29 00:00:00+00:00,17,9,5,4
