referrer,views_total,views_unique
Google,132,53
github.com,32,12
Bing,18,6
DuckDuckGo,10,6
sciencedirect.com,6,3
chatgpt.com,5,2
perplexity.ai,3,1
cn.bing.com,2,1
neurostars.org,1,1
pypi.org,1,1
