referrer,views_total,views_unique
Google,64,25
pypi.org,10,4
sciencedirect.com,9,3
neurostars.org,8,7
github.com,7,4
Bing,4,4
link.zhihu.com,2,2
statics.teams.cdn.office.net,2,1
webmail.cibr.ac.cn,1,1
