time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-16 00:00:00+00:00,4.0,4.0,1,1
2025-11-17 00:00:00+00:00,2.0,2.0,21,9
2025-11-18 00:00:00+00:00,8.0,3.0,52,20
2025-11-19 00:00:00+00:00,7.0,6.0,15,11
2025-11-20 00:00:00+00:00,7.0,7.0,42,15
2025-11-21 00:00:00+00:00,12.0,9.0,28,13
2025-11-22 00:00:00+00:00,6.0,6.0,15,8
2025-11-23 00:00:00+00:00,4.0,4.0,6,3
2025-11-24 00:00:00+00:00,2.0,2.0,4,4
2025-11-25 00:00:00+00:00,22.0,6.0,29,17
2025-11-26 00:00:00+00:00,6.0,6.0,19,8
2025-11-27 00:00:00+00:00,4.0,4.0,7,7
2025-11-28 00:00:00+00:00,3.0,3.0,7,7
2025-11-29 00:00:00+00:00,,,4,4
