referrer,views_total,views_unique
Google,126,49
github.com,23,4
sciencedirect.com,18,5
Bing,9,6
neurostars.org,7,2
statics.teams.cdn.office.net,3,2
nature.com,3,1
ch.search.yahoo.com,1,1
cn.bing.com,1,1
chatgpt.com,1,1
