referrer,views_total,views_unique
Google,117,38
github.com,27,7
chatgpt.com,17,5
sciencedirect.com,9,9
pdf.sciencedirectassets.com,6,1
neurostars.org,4,3
DuckDuckGo,3,1
pmc.ncbi.nlm.nih.gov,3,1
nature.com,2,1
co.search.yahoo.com,1,1
