time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-14 00:00:00+00:00,3,2,46,15
2025-04-15 00:00:00+00:00,5,2,21,8
2025-04-16 00:00:00+00:00,1,1,25,17
2025-04-17 00:00:00+00:00,2,2,18,11
2025-04-18 00:00:00+00:00,17,7,4,3
2025-04-19 00:00:00+00:00,4,4,29,7
2025-04-20 00:00:00+00:00,4,3,11,8
2025-04-21 00:00:00+00:00,6,3,15,8
2025-04-22 00:00:00+00:00,5,3,34,11
2025-04-23 00:00:00+00:00,13,6,77,19
2025-04-24 00:00:00+00:00,10,5,32,16
2025-04-25 00:00:00+00:00,15,8,45,19
2025-04-26 00:00:00+00:00,2,2,18,6
2025-04-27 00:00:00+00:00,4,2,2,2
