time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-11 00:00:00+00:00,16.0,9.0,16,11
2025-11-12 00:00:00+00:00,12.0,5.0,22,12
2025-11-13 00:00:00+00:00,6.0,5.0,28,19
2025-11-14 00:00:00+00:00,9.0,4.0,10,7
2025-11-15 00:00:00+00:00,6.0,6.0,2,2
2025-11-16 00:00:00+00:00,4.0,4.0,1,1
2025-11-17 00:00:00+00:00,2.0,2.0,21,9
2025-11-18 00:00:00+00:00,8.0,3.0,52,20
2025-11-19 00:00:00+00:00,7.0,6.0,15,11
2025-11-20 00:00:00+00:00,7.0,7.0,42,15
2025-11-21 00:00:00+00:00,12.0,9.0,28,13
2025-11-22 00:00:00+00:00,6.0,6.0,15,8
2025-11-23 00:00:00+00:00,4.0,4.0,6,3
2025-11-24 00:00:00+00:00,,,4,4
