referrer,views_total,views_unique
Google,47,26
github.com,4,4
chatgpt.com,4,3
neurostars.org,4,2
sciencedirect.com,3,3
Yahoo,2,1
Bing,1,1
DuckDuckGo,1,1
frontiersin.org,1,1
