referrer,views_total,views_unique
Google,97,36
sciencedirect.com,28,9
github.com,21,5
centilebrain.org,9,3
nature.com,3,2
Bing,2,2
neurostars.org,2,2
search.brave.com,1,1
chatgpt.com,1,1
it.search.yahoo.com,1,1
