referrer,views_total,views_unique
Google,129,50
github.com,31,13
Bing,19,6
sciencedirect.com,7,4
DuckDuckGo,4,4
perplexity.ai,3,1
nature.com,2,2
biorxiv.org,1,1
cn.bing.com,1,1
pypi.org,1,1
