referrer,views_total,views_unique
Google,135,45
Bing,32,6
github.com,20,7
sciencedirect.com,7,6
chatgpt.com,5,4
neurostars.org,4,3
nature.com,3,3
search.brave.com,2,1
teams.microsoft.com,1,1
