referrer,views_total,views_unique
Google,97,30
sciencedirect.com,28,9
github.com,18,7
centilebrain.org,9,3
Bing,4,4
nature.com,3,2
statics.teams.cdn.office.net,2,1
search.brave.com,1,1
chatgpt.com,1,1
it.search.yahoo.com,1,1
