referrer,views_total,views_unique
Google,94,34
github.com,12,9
chatgpt.com,5,5
Bing,3,3
sciencedirect.com,2,2
static-content.springer.com,2,2
ecosia.org,2,1
statics.teams.cdn.office.net,2,1
frontiersin.org,1,1
nature.com,1,1
