time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-18 00:00:00+00:00,36,13,10,6
2026-06-19 00:00:00+00:00,27,9,6,6
2026-06-20 00:00:00+00:00,38,14,6,5
2026-06-21 00:00:00+00:00,36,13,1,1
2026-06-22 00:00:00+00:00,36,13,29,10
2026-06-23 00:00:00+00:00,41,17,8,5
2026-06-24 00:00:00+00:00,47,18,22,5
2026-06-25 00:00:00+00:00,31,11,25,12
2026-06-26 00:00:00+00:00,21,8,7,6
2026-06-27 00:00:00+00:00,27,8,10,2
2026-06-28 00:00:00+00:00,19,8,8,4
2026-06-29 00:00:00+00:00,30,11,47,14
2026-06-30 00:00:00+00:00,19,8,17,7
2026-07-01 00:00:00+00:00,12,6,15,7
