referrer,views_total,views_unique
Google,39,26
neurostars.org,9,6
pypi.org,7,5
sciencedirect.com,5,3
Bing,4,4
chatgpt.com,4,2
github.com,3,3
copilot.microsoft.com,1,1
nature.com,1,1
