referrer,views_total,views_unique
Google,75,44
github.com,14,3
sciencedirect.com,12,8
cn.bing.com,12,2
DuckDuckGo,7,4
chatgpt.com,7,3
search.brave.com,3,2
ecosia.org,1,1
pdf.sciencedirectassets.com,1,1
medium.com,1,1
