referrer,views_total,views_unique
Google,55,15
github.com,4,4
chatgpt.com,4,3
Bing,3,1
ecosia.org,2,1
claude.ai,1,1
neurostars.org,1,1
sciencedirect.com,1,1
search.brave.com,1,1
