referrer,views_total,views_unique
Google,117,50
github.com,15,8
sciencedirect.com,10,6
Bing,6,3
neurostars.org,6,2
chatgpt.com,4,3
DuckDuckGo,2,1
link.zhihu.com,1,1
mail.google.com,1,1
cn.bing.com,1,1
