referrer,views_total,views_unique
Google,71,42
github.com,11,7
Bing,8,5
cn.bing.com,6,2
DuckDuckGo,6,2
sciencedirect.com,5,3
chatgpt.com,4,2
nature.com,3,2
neurostars.org,3,2
link.zhihu.com,1,1
