referrer,views_total,views_unique
Google,55,26
sciencedirect.com,10,4
neurostars.org,8,6
github.com,7,4
Yahoo,4,2
statics.teams.cdn.office.net,4,1
Bing,2,2
centilebrain.org,2,1
chatgpt.com,1,1
search.brave.com,1,1
