time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-10 00:00:00+00:00,19,5,23,14
2025-06-11 00:00:00+00:00,12,5,27,17
2025-06-12 00:00:00+00:00,15,7,20,12
2025-06-13 00:00:00+00:00,13,7,14,9
2025-06-14 00:00:00+00:00,13,7,3,3
2025-06-15 00:00:00+00:00,10,3,24,8
2025-06-16 00:00:00+00:00,14,7,28,16
2025-06-17 00:00:00+00:00,10,4,21,9
2025-06-18 00:00:00+00:00,12,6,16,10
2025-06-19 00:00:00+00:00,8,2,14,9
2025-06-20 00:00:00+00:00,8,2,12,6
2025-06-21 00:00:00+00:00,10,4,6,4
2025-06-22 00:00:00+00:00,11,3,2,2
2025-06-23 00:00:00+00:00,4,4,18,15
