referrer,views_total,views_unique
Google,134,33
github.com,19,4
chatgpt.com,12,9
pdf.sciencedirectassets.com,6,1
nature.com,5,2
Bing,3,3
pmc.ncbi.nlm.nih.gov,3,1
DuckDuckGo,3,1
sciencedirect.com,2,2
co.search.yahoo.com,1,1
