referrer,views_total,views_unique
Google,80,39
github.com,33,6
sciencedirect.com,15,8
nature.com,10,4
Bing,8,2
chatgpt.com,7,5
search.brave.com,5,1
neurostars.org,4,3
cn.bing.com,2,2
link.zhihu.com,1,1
